DateTime,Stock,Action,Qty,Entry Price,SL,Target,Strategy
2025-04-09 03:48:02,RELIANCE,BUY,2,1179.75,1173.85,1191.55,Hybrid Strategy
2025-04-09 03:48:02,HDFCBANK,BUY,1,1766.05,1764.98,1768.18,VWAP Reversal (VWAP Strategy)
2025-04-09 03:48:02,INFY,BUY,2,1399.1,1392.1,1413.09,Hybrid Strategy
2025-04-09 03:48:03,ICICIBANK,BUY,2,1295.35,1293.2,1299.65,VWAP Reversal (VWAP Strategy)
2025-04-09 03:49:59,RELIANCE,BUY,2,1177.15,1171.26,1188.92,Hybrid Strategy
2025-04-09 03:49:59,HDFCBANK,BUY,1,1762.25,1758.65,1769.45,VWAP Reversal (VWAP Strategy)
2025-04-09 03:49:59,INFY,BUY,2,1394.25,1393.3,1396.15,VWAP Reversal (VWAP Strategy)
2025-04-09 03:50:00,ICICIBANK,BUY,2,1293.25,1289.98,1299.78,VWAP Reversal (VWAP Strategy)
2025-04-09 09:44:04,RELIANCE,BUY,2,1183.8,1177.88,1195.64,Hybrid Strategy
2025-04-09 09:44:04,HDFCBANK,BUY,1,1772.2,1763.34,1789.92,Hybrid Strategy
2025-04-09 09:44:04,INFY,BUY,2,1401.6,1394.59,1415.62,Hybrid Strategy
2025-04-09 09:44:04,ICICIBANK,BUY,2,1293.1,1290.5,1298.3,VWAP Reversal (VWAP Strategy)
2025-04-09 10:18:26,RELIANCE,BUY,2,1185.6,1179.67,1197.46,Hybrid Strategy
2025-04-09 10:18:26,HDFCBANK,BUY,1,1771.85,1762.99,1789.57,Hybrid Strategy
2025-04-11 10:08:42,RELIANCE,BUY,12,1213.65,1205.15,1230.64,VWAP Reversal (VWAP Strategy)
2025-04-11 10:08:42,HDFCBANK,BUY,15,1802.05,1789.44,1827.28,VWAP Reversal (VWAP Strategy)
2025-04-11 10:08:42,INFY,BUY,19,1430.05,1420.04,1450.07,VWAP Reversal (VWAP Strategy)
2025-04-15 09:25:04,HDFCBANK,BUY,15,1870.4,1857.31,1896.59,VWAP Reversal (VWAP Strategy)
2025-04-15 09:27:04,INFY,BUY,19,1440,1429.92,1460.16,VWAP Reversal (VWAP Strategy)
2025-04-15 09:27:04,ICICIBANK,BUY,21,1347.9,1338.46,1366.77,VWAP Reversal (VWAP Strategy)
2025-04-16 09:28:14,TCS,BUY,8,3267.6,3244.73,3313.35,Hybrid Strategy
2025-04-16 09:28:14,INFY,BUY,20,1418.6,1408.67,1438.46,Hybrid Strategy
2025-04-16 09:32:15,ICICIBANK,BUY,21,1355.1,1345.61,1374.07,Hybrid Strategy
2025-04-16 09:45:48,ICICIBANK,BUY,21,1355.9,1349.9,1367.9,VWAP Reversal (VWAP Strategy)
2025-04-16 11:28:29,RELIANCE,BUY,11,1234.8,1228.8,1246.8,VWAP Reversal (VWAP Strategy)
2025-04-16 11:46:36,TCS,BUY,8,3259.9,3253.9,3271.9,VWAP Reversal (VWAP Strategy)
2025-04-17 09:41:35,HDFCBANK,BUY,15,1892.8,1879.55,1919.3,Opening Range Breakout (ORB Strategy)
2025-04-17 09:43:36,ICICIBANK,BUY,20,1379.6,1369.94,1398.91,Opening Range Breakout (ORB Strategy)
2025-04-17 10:26:50,ICICIBANK,BUY,20,1379.9,1370.24,1399.22,Opening Range Breakout (ORB Strategy)
2025-04-21 09:33:21,RELIANCE,BUY,11,1279,1270.05,1296.91,Opening Range Breakout (ORB Strategy)
2025-04-21 09:40:22,TCS,BUY,8,3315.7,3292.49,3362.12,Opening Range Breakout (ORB Strategy)
2025-04-21 09:45:23,INFY,BUY,20,1453.7,1447.7,1465.7,VWAP Reversal (VWAP Strategy)
2025-04-22 09:38:48,HDFCBANK,BUY,14,1951,1937.34,1978.31,Opening Range Breakout (ORB Strategy)
2025-04-22 09:39:48,TCS,BUY,8,3326.6,3303.31,3373.17,Opening Range Breakout (ORB Strategy)
2025-04-22 10:25:02,ICICIBANK,BUY,20,1412.9,1406.9,1424.9,VWAP Reversal (VWAP Strategy)
2025-04-23 14:40:43,TCS,BUY,8,3413.4,3407.4,3425.4,VWAP Reversal (VWAP Strategy)
2025-04-23 14:40:43,INFY,BUY,20,1473.5,1467.5,1485.5,VWAP Reversal (VWAP Strategy)
2025-04-23 14:40:44,ICICIBANK,BUY,20,1424.9,1418.9,1436.9,VWAP Reversal (VWAP Strategy)
2025-04-24 09:34:42,RELIANCE,BUY,11,1296.6,1290.6,1308.6,VWAP Reversal (VWAP Strategy)
2025-04-24 09:34:42,TCS,BUY,8,3405.4,3399.4,3417.4,VWAP Reversal (VWAP Strategy)
2025-04-24 09:34:42,HDFCBANK,BUY,14,1919.6,1906.16,1946.47,Opening Range Breakout (ORB Strategy)
2025-04-25 09:27:01,RELIANCE,BUY,11,1317.1,1311.1,1329.1,VWAP Reversal (VWAP Strategy)
2025-04-25 09:27:01,TCS,BUY,8,3473.9,3467.9,3485.9,VWAP Reversal (VWAP Strategy)
2025-04-25 09:27:01,INFY,BUY,19,1498,1492.0,1510.0,VWAP Reversal (VWAP Strategy)
2025-04-25 13:50:09,INFY,BUY,19,1493.7,1487.7,1505.7,VWAP Reversal (VWAP Strategy)
2025-04-25 14:19:19,TCS,BUY,8,3456.4,3450.4,3468.4,VWAP Reversal (VWAP Strategy)
2025-04-28 09:28:00,HDFCBANK,BUY,15,1922.7,1916.7,1934.7,VWAP Reversal (VWAP Strategy)
2025-04-28 09:28:00,ICICIBANK,BUY,20,1421,1415.0,1433.0,VWAP Reversal (VWAP Strategy)
2025-04-28 09:36:02,RELIANCE,BUY,11,1337.5,1331.5,1349.5,VWAP Reversal (VWAP Strategy)
2025-04-29 09:25:25,RELIANCE,BUY,10,1387.4,1381.4,1399.4,VWAP Reversal (VWAP Strategy)
2025-04-29 09:25:25,ICICIBANK,BUY,20,1435.9,1429.9,1447.9,VWAP Reversal (VWAP Strategy)
2025-04-29 09:26:25,HDFCBANK,BUY,15,1925.6,1919.6,1937.6,VWAP Reversal (VWAP Strategy)
2025-04-30 09:28:49,HDFCBANK,BUY,15,1926,1920.0,1938.0,VWAP Reversal (VWAP Strategy)
2025-04-30 09:40:56,HDFCBANK,BUY,15,1931.4,1925.4,1943.4,VWAP Reversal (VWAP Strategy)
2025-04-30 09:40:56,ICICIBANK,BUY,20,1431.2,1425.2,1443.2,VWAP Reversal (VWAP Strategy)
2025-04-30 09:45:57,RELIANCE,BUY,10,1399,1393.0,1411.0,VWAP Reversal (VWAP Strategy)
